flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R32","D04","42","13","4","22","26","1","2.02","20","176","151"
"R32","D05","40","18","0","18","18","0","1.94","23","236","165"
"R32","D06","70","12","31","22","54","1","2.3","28","179","213"
"R32","D07","66","13","23","18","42","1","2.27","29","281","225"
"R32","D08","46","13","14","12","26","1","1.58","24","161","152"
"R32","D09","28","7","4","13","17","1","1.86","18","57","112"
"R32","D10","52","30","0","21","21","0","1.98","19","218","154"
"R33","D01","69","9","21","26","48","1","2.33","31","191","240"
"R33","D02","103","19","40","36","76","1","2.8","40","305","366"
"R33","D03","39","11","3","17","21","1","1.94","20","113","143"
"R33","D04","43","10","3","20","24","1","1.98","21","109","149"
"R33","D05","51","15","10","20","31","1","2.11","29","168","206"
"R33","D06","53","12","18","17","35","1","2.11","21","140","147"
"R33","D07","76","14","27","23","51","1","2.36","33","251","266"
"R33","D08","68","20","20","20","40","1","1.87","31","166","212"
"R33","D09","41","11","3","17","20","1","1.9","19","82","138"
"R33","D10","52","24","3","19","23","1","1.94","20","150","158"
"R34","D01","57","16","8","24","33","1","2.2","28","192","223"
"R34","D02","92","27","8","49","57","1","2.53","38","305","348"
"R34","D03","33","12","0","17","17","0","1.9","18","114","125"
"R34","D04","36","11","0","20","20","0","1.94","19","109","131"
"R34","D05","43","15","4","20","24","1","2.02","27","169","189"
"R34","D06","55","17","4","27","31","1","2.02","23","156","148"
"R34","D07","64","11","23","23","46","1","2.33","31","252","249"
"R34","D08","75","25","19","24","43","1","2.33","31","183","209"
"R34","D09","33","12","0","17","17","0","1.86","17","82","120"
"R34","D10","45","26","0","19","19","0","1.9","18","151","140"
"R35","D01","78","19","11","40","52","1","2.42","38","254","294"
"R35","D02","111","38","8","58","67","1","2.51","44","367","419"
"R35","D03","49","10","8","23","32","1","2.15","27","176","196"
"R35","D04","49","12","2","29","32","1","2.2","27","171","202"
"R35","D05","60","15","8","29","38","1","2.3","36","230","260"
"R35","D06","52","18","23","7","30","1","1.98","18","136","160"
"R35","D07","84","22","23","32","56","1","2.44","40","313","320"
"R35","D08","70","10","53","0","53","0","2.3","29","199","217"
"R35","D09","49","13","2","26","28","1","2.15","27","144","191"
"R35","D10","58","24","2","26","29","1","2.15","28","212","212"
"R36","D01","80","22","7","44","51","1","2.42","38","250","293"
"R36","D02","108","34","8","58","67","1","2.51","43","364","418"
"R36","D03","46","11","2","26","29","1","1.77","27","172","195"
"R36","D04","47","10","2","29","32","1","1.84","27","168","201"
"R36","D05","57","16","2","32","34","1","1.96","36","227","259"
"R36","D06","54","12","38","0","38","0","1.55","18","132","161"
"R36","D07","82","19","23","32","56","1","2.44","40","310","319"
"R36","D08","72","14","52","0","52","0","2.3","27","196","215"
"R36","D09","47","11","2","26","28","1","2.15","26","141","190"
"R36","D10","59","25","2","26","29","1","1.76","28","209","211"
"R37","D01","78","21","7","44","51","1","2.42","41","243","301"
"R37","D02","107","33","8","58","67","1","2.51","45","356","427"
"R37","D03","46","9","4","26","31","1","2.2","29","164","211"
"R37","D04","48","8","4","29","34","1","2.24","29","160","217"
"R37","D05","58","13","4","32","37","1","2.33","38","219","268"
"R37","D06","61","14","41","1","43","1","1.65","21","125","166"
"R37","D07","81","17","23","32","56","1","2.44","43","302","328"
"R37","D08","75","19","38","11","49","1","1.96","29","188","221"
"R37","D09","48","9","4","26","31","1","2.15","29","133","207"
"R37","D10","60","32","0","28","28","0","2.15","31","201","227"
"R38","D01","72","17","11","36","47","1","2.38","35","208","266"
"R38","D02","107","35","8","54","62","1","2.68","43","322","392"
"R38","D03","42","11","0","25","25","0","2.07","23","130","169"
"R38","D04","45","10","0","28","28","0","2.15","23","125","175"
"R38","D05","53","16","0","31","31","0","2.27","32","185","233"
"R38","D06","60","17","27","7","34","1","1.67","20","127","155"
"R38","D07","79","20","23","27","51","1","2.4","36","268","293"
"R38","D08","76","6","61","0","61","0","2.07","30","148","208"
"R38","D09","43","11","0","25","25","0","2.07","23","98","164"
"R38","D10","54","25","0","27","27","0","2.11","24","167","184"
"R39","D01","70","13","11","37","49","1","2.4","34","221","266"
"R39","D02","103","31","8","56","64","1","2.73","43","298","392"
"R39","D03","41","12","1","22","23","1","2.02","24","143","176"
"R39","D04","44","12","1","25","26","1","2.07","25","139","182"
"R39","D05","52","17","1","27","29","1","2.2","34","198","232"
"R39","D06","60","21","29","7","37","1","2.07","19","141","168"
"R39","D07","76","16","23","29","53","1","2.42","38","244","292"
"R39","D08","72","8","59","0","59","0","2.33","27","124","198"
"R39","D09","42","12","1","21","23","1","2.02","23","112","171"
"R39","D10","53","26","1","23","25","1","2.07","24","180","191"
"R40","D01","69","6","28","21","50","1","2.3","29","238","221"
"R40","D02","105","22","37","36","73","1","2.73","39","314","347"
"R40","D03","38","7","8","20","28","1","2.02","19","160","140"
